two-channel video installation
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
album with one hundred twenty-five gelatin silver prints
photograph
albumen print
cabinet photograph
cabinet photograph
cabinet photograph
cabinet photograph
cabinet photograph
five cabinet photographs
oil on canvas
oil on canvas
albumen print
hand-painted albumen print
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
carte-de-visite 
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
tintype
ambrotype
two albumen prints on board
color woodcut
albumen print
half plate daguerreotype
watercolor and gouache on ivory
oil on board
oil on canvas
ninety copper and glass plates
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
carte-de-viste
album with sixty-five carte-de-viste portraits
daguerreotype
daguerreotype
mahogany, mahogany veneer, brass
mahogany veneer, gold leaf
painted wood
albumen print
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
lithograph
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
litho on Arches heavy weight wove paper
nine lithographs on Arches heavy weight wove paper in a suite drawn and hand pri
lithograph
lithograph
lithograph
lithograph
lithograph
acrylic and rhoplex on canvas, unstretched
gelatin silver print on Agfa fiber-based paper
lead
chrome-plated bronze
diamond-plated aluminum, painted steel, bricks, and rope
mixed media
etching on wove paper
etching on blue-gray laid paper
etching on wove paper
pencil on medium weight wove paper
etching
etching on laid paper
etching on blue laid paper
etching
etching
chromogenic print
cibachrome print
cibachrome print
cibachrome print
cibachrome print
cibachrome print
